ispb,codigo_compe,nome,nome_completo
04307598,382,"FIDUCIA SCMEPP LTDA","FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LIMITADA."
04332281,064,"GOLDMAN SACHS DO BRASIL BM S.A","GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A."
04391007,,"CIP SA Sitraf","CIP S.A"
04632856,097,"CREDISIS - CENTRAL DE COOPERATIVAS DE CRÉDITO","CREDISIS - CENTRAL DE COOPERATIVAS DE CRÉDITO"
04715685,016,"CCM DESP TRÂNS SC E RS","COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CREDITRAN"
04814563,299,"BCO AFINZ S.A. - BM","BANCO AFINZ S.A. - BANCO MÚLTIPLO"
04849745,540,"HBI SCD","HBI SOCIEDADE DE CRÉDITO DIRETO S/A."
04862600,468,"PORTOSEG S.A. CFI","PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
04866275,012,"BANCO INBURSA","Banco Inbursa S.A."
04902979,003,"BCO DA AMAZONIA S.A.","BANCO DA AMAZONIA S.A."
04913129,060,"CONFIDENCE CC S.A.","CONFIDENCE SOCIEDADE CORRETORA DE CAMBIO S.A."
04913711,037,"BCO DO EST. DO PA S.A.","Banco do Estado do Pará S.A."
05192316,411,"VIA CERTA FINANCIADORA S.A. - CFI","Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos"
05351887,359,"ZEMA CFI S/A","ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A"
05442029,159,"CASA CREDITO S.A. SCM","Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor"
05463212,085,"COOPCENTRAL AILOS","Cooperativa Central de Crédito - Ailos"
05491616,400,"COOP CREDITAG - EM LIQUIDAÇÃO EXTRAJUDICIAL","COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS - EM LIQUIDAÇÃO EXTRAJUDICIAL"
05684234,410,"PLANNER SOCIEDADE DE CRÉDITO DIRETO","PLANNER SOCIEDADE DE CRÉDITO DIRETO S.A."
