ispb,codigo_compe,nome,nome_completo
33588252,708,"BCO INDUSCRED DE INVESTIM. S/A","BANCO INDUSCRED DE INVESTIMENTO S.A."
33603457,120,"BCO RODOBENS S.A.","BANCO RODOBENS S.A."
33644196,265,"BCO FATOR S.A.","Banco Fator S.A."
33657248,007,BNDES,"BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL"
33667205,583,"CCC POUP INV DO CENTRO NORTE DO BRASIL","COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE"
33737818,582,"CCC POUP INV DE MS, GO, DF E TO","COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL"
33775974,188,"ATIVA S.A. INVESTIMENTOS CCTVM","ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES"
33862244,134,"BGC LIQUIDEZ DTVM LTDA","BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"
33884941,719,"BANCO MASTER MÚLTIPLO - EM LIQUIDAÇÃO EXTRAJUDICIAL","BANCO MASTER MÚLTIPLO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL"
33886862,467,"MASTER S/A CCTVM - EM LIQUIDAÇÃO EXTRAJUDICIAL","MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS - EM LIQUIDAÇÃO EXTRAJUDICIAL"
33923798,243,"BANCO MASTER - EM LIQUIDAÇÃO EXTRAJUDICIAL","BANCO MASTER S/A - EM LIQUIDAÇÃO EXTRAJUDICIAL"
33959738,774,"MOVA SEP S.A.","MOVA SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A."
34088029,397,"LISTO SCD S.A.","LISTO SOCIEDADE DE CREDITO DIRETO S.A."
34111187,078,"HAITONG BI DO BRASIL S.A.","Haitong Banco de Investimento do Brasil S.A."
34139916,760,"EMCASH SERV FINANC SEP S.A.","EMCASH SERVIÇOS FINANCEIROS SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A."
34265629,525,"INTERCAM CC LTDA","INTERCAM CORRETORA DE CÂMBIO LTDA."
34335592,355,"ÓTIMO SCD S.A.","ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A."
34337707,531,"BMP SCD S.A.","BMP SOCIEDADE DE CRÉDITO DIRETO S.A"
34471744,660,"PAGME IP LTDA","PAGME INSTITUIÇÃO DE PAGAMENTO LTDA."
34747388,597,"ISSUER IP LTDA.","ISSUER INSTITUICAO DE PAGAMENTO LTDA."
34829992,528,"CBSF DTVM -EM LIQUIDAÇÃO EXTRAJUDICIAL","CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.- EM LIQUIDAÇÃO EXTRAJUDICIAL"
35210410,659,"ONEKEY PAYMENTS IP S.A.","ONEKEY PAYMENTS INSTITUICAO DE PAGAMENTO SA"
35340796,687,"INCO SEP S.A.","INCO SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A."
35479592,676,"DUFRIO CFI S.A.","DUFRIO FINANCEIRA, CRÉDITO, FINANCIAMENTO E INVESTIMENTOS S.A."
35523352,695,"BEES IP LTDA.","BEES INSTITUICAO DE PAGAMENTO LTDA."
35551187,445,"PLANTAE CFI","PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
35713491,788,"PROTOTYPE IP S.A.","PROTOTYPE INSTITUICAO DE PAGAMENTO S.A."
35810871,586,"Z1 IP LTDA.","Z1 INSTITUIÇÃO DE PAGAMENTO LTDA."
35977097,373,"UP.P SEP S.A.","UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A."
36113876,111,"OLIVEIRA TRUST DTVM S.A.","OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A."
36266751,512,"FINVEST DTVM","FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
36321990,599,"AGORACRED S/A SCFI","AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
36583700,516,"QISTA S.A. CFI","QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
36586946,408,"BONUSPAGO SCD S.A.","BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A."
36690516,679,"PAY IP S.A.","PAY INSTITUICAO DE PAGAMENTO S.A."
36864992,484,"MAF DTVM SA","MAF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
36947229,402,"COBUCCIO S.A. SCFI","COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
37229413,507,"SCFI EFÍ S.A.","SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A."
37241230,404,"SUMUP SCD S.A.","SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A."
37414009,418,"ZIPDIN SCD S.A.","ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A"
37470405,615,"SMART SOLUTIONS GROUP IP LTDA","SMART SOLUTIONS GROUP INSTITUICAO DE PAGAMENTO LTDA"
37526080,414,"LEND SCD S.A.","LEND SOCIEDADE DE CRÉDITO DIRETO S.A."
37555231,449,DM,"DM SOCIEDADE DE CRÉDITO DIRETO S.A."
37678915,587,"FIDD DTVM LTDA.","FIDD DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
37679449,518,"MERCADO CRÉDITO SCFI S.A.","MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
37715993,406,"ACCREDITO SCD S.A.","ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A."
37753531,765,"PAGSMILE IP LTDA.","PAGSMILE INSTITUIÇÃO DE PAGAMENTO LTDA."
37880206,403,"CORA SCFI","CORA SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
38129006,419,"NUMBRS SCD S.A.","NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A."
38224857,435,"DELFINANCE SCD S.A.","DELFINANCE SOCIEDADE DE CREDITO DIRETO S.A."
38429045,455,"VIS DTVM LTDA","VIS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"
38593706,544,"MULTICRED SCD S.A.","MULTICRED SOCIEDADE DE CRÉDITO DIRETO S.A."
39343350,421,"CC LAR CREDI","LAR COOPERATIVA DE CRÉDITO - LAR CREDI"
39416705,443,"OCTA SCD S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","OCTA SOCIEDADE DE CRÉDITO DIRETO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL"
39519944,535,"OPEA SCD","OPEA SOCIEDADE DE CRÉDITO DIRETO S.A."
39587424,457,"UY3 SCD S/A","UY3 SOCIEDADE DE CRÉDITO DIRETO S/A"
39664698,428,"CREDSYSTEM SCD S.A.","CREDSYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A."
39669186,448,"HEMERA DTVM LTDA.","HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
39676772,452,"CREDIFIT SCD S.A.","CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A."
39696395,596,"CACTVS IP S.A.","CACTVS INSTITUICAO DE PAGAMENTO S.A"
39738065,510,"FFCRED SCD S.A.","FFCRED SOCIEDADE DE CRÉDITO DIRETO S.A.."
39908427,462,"STARK SCD S.A.","STARK SOCIEDADE DE CRÉDITO DIRETO S.A."
40083667,465,"CAPITAL CONSIG SCD S.A.","CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A."
40112555,636,"GIRO - SCD S/A","GIRO - SOCIEDADE DE CRÉDITO DIRETO S/A"
40276692,563,"PROTEGE CASH","PROTEGE CASH INSTITUIÇÃO DE PAGAMENTO S.A."
40333582,556,"SAYGO CÂMBIO","SAYGO CORRETORA DE CÂMBIO S.A."
40353377,305,"FOURTRADE COR. DE CAMBIO LTDA","FOURTRADE CORRETORA DE CÂMBIO LTDA."
40434681,463,"AZUMI DTVM","AZUMI DISTRIBUIDORA DE TíTULOS E VALORES MOBILIáRIOS LTDA."
40473435,590,"REPASSES FINANCEIROS E SOLUCOES TECNOLOGICAS IP S.A.","REPASSES FINANCEIROS E SOLUCOES TECNOLOGICAS INSTITUICAO DE PAGAMENTO S.A."
40475846,451,"J17 - SCD S/A","J17 - SOCIEDADE DE CRÉDITO DIRETO S/A"
40654622,444,"TRINUS SCD S.A.","TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A."
40768766,519,"LIONS TRUST DTVM","LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
41592532,454,"MÉRITO DTVM LTDA.","MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
42047025,460,"UNAVANTI SCD S/A","UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A"
42066258,506,RJI,"RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA"
42259084,482,"ARTTA SCD","ARTTA SOCIEDADE DE CRÉDITO DIRETO S.A"
42272526,017,"BNY MELLON BCO S.A.","BNY Mellon Banco S.A."
42963742,759,"BANSUR JM SCD S.A.","BANSUR JM SOCIEDADE DE CRÉDITO DIRETO S/A"
43180355,174,"PEFISA S.A. - C.F.I.","PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
43599047,481,"SUPERLÓGICA SCD S.A.","SUPERLÓGICA SOCIEDADE DE CRÉDITO DIRETO S.A."
43978697,688,"KIKAI SCD S.A.","KIKAI SOCIEDADE DE CRÉDITO DIRETO S.A."
44019481,521,"PEAK SEP S.A.","PEAK SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A."
44077014,433,"BR-CAPITAL DTVM S.A.","BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
44189447,495,"BCO LA PROVINCIA B AIRES BCE","Banco de La Provincia de Buenos Aires"
44292580,523,"HR DIGITAL SCD","HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A"
44323831,794,"ATUAL CC LTDA","ATUAL SOCIEDADE CORRETORA DE CÂMBIO LTDA"
44478623,527,"ATICCA SCD S.A.","ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A."
44663846,704,"FESTOR IP LTDA.","FESTOR INSTITUIÇÃO DE PAGAMENTO LTDA."
44683140,511,"MAGNUM SCD","MAGNUM SOCIEDADE DE CRÉDITO DIRETO S.A."
44705774,520,"SOMAPAY SCD S.A.","SOMAPAY SOCIEDADE DE CRÉDITO DIRETO S.A."
44728700,513,"ATF SCD S.A.","ATF SOCIEDADE DE CRÉDITO DIRETO S.A."
44782130,663,"ACTUAL DTVM S.A.","ACTUAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
44921281,792,"NIXFIN SCD","NIXFIN SOCIEDADE DE CRÉDITO DIRETO S.A."
45056494,697,"JM CORRETORA DE CÂMBIO","JM CORRETORA DE CÂMBIO LTDA."
45246410,125,"BANCO GENIAL","BANCO GENIAL S.A."
45283173,496,"BBVA BRASIL BI S.A.","BBVA BRASIL BANCO DE INVESTIMENTO S.A."
45331622,547,"BNK DIGITAL SCD S.A.","BNK DIGITAL SOCIEDADE DE CRÉDITO DIRETO S.A."
45548763,592,"MAPS IP LTDA.","INSTITUIÇÃO DE PAGAMENTOS MAPS LTDA."
45716916,678,"FIDEM SCD S/A","FIDEM SOCIEDADE DE CRÉDITO DIRETO S/A"
45745537,532,"FUTURO SCD","FUTURO SOCIEDADE DE CRÉDITO DIRETO S.A."
45756448,537,"MICROCASH SCMEPP LTDA.","MICROCASH SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA."
45854066,524,"WNT CAPITAL DTVM","WNT CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
45860531,476,"IDEA MAKER IP LTDA","IDEA MAKER INSTITUICAO DE PAGAMENTO LTDA"
46026562,526,"MONETARIE SCD","MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A."
46505612,682,"MONERY IP S.A.","MONERY INSTITUICAO DE PAGAMENTO S.A."
46518205,488,"JPMORGAN CHASE BANK","JPMorgan Chase Bank, National Association"
47133056,669,"TRANSFERO IP LTDA.","TRANSFERO INSTITUICAO DE PAGAMENTO LTDA."
47381104,775,"CONTAAZUL IP LTDA.","CONTAAZUL INSTITUICAO DE PAGAMENTO LTDA."
47593544,522,"RED SCD S.A.","RED SOCIEDADE DE CRÉDITO DIRETO S.A."
47873449,530,"SER FINANCE SCD S.A.","SER FINANCE SOCIEDADE DE CRÉDITO DIRETO S.A."
48552108,667,"LIQUIDO IP LTDA","LIQUIDO INSTITUICAO DE PAGAMENTO LTDA"
48584954,575,"DGBK CREDIT S.A. - SOCIEDADE DE CRÉDITO DIRETO.","DGBK CREDIT S.A. - SOCIEDADE DE CRÉDITO DIRETO."
48632754,668,"CELCOIN SCD","CELCOIN SOCIEDADE DE CRÉDITO DIRETO S.A."
48703388,594,"ASA SCFI S.A.","ASA SOCIEDADE DE CRÉDITO FINANCIAMENTO E INVESTIMENTO S.A."
48707451,553,"PERCAPITAL SCD S.A.","PERCAPITAL SOCIEDADE DE CRÉDITO DIRETO S.A."
48756121,574,"A55 SCD S.A.","A55 SOCIEDADE DE CRÉDITO DIRETO S.A."
48795256,065,"BCO ANDBANK S.A.","Banco AndBank (Brasil) S.A."
48967968,551,"VERT DTVM LTDA.","VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"
49288113,559,"KANASTRA CFI","KANASTRA FINANCEIRA S.A, CREDITO, FINANCIAMENTO E INVESTIMENTO"
49555647,579,"QUADRA SCD","QUADRA SOCIEDADE DE CRÉDITO DIRETO S.A."
49686505,691,"WASU IP LTDA.","WASU - WALLET SUPPORT INSTITUIÇÃO DE PAGAMENTO LTDA"
49931906,619,"TRIO IP LTDA.","TRIO INSTITUICAO DE PAGAMENTO LTDA."
49933388,568,"BRCONDOS SCD S.A.","BRCONDOS SOCIEDADE DE CRÉDITO DIRETO S.A."
50032584,696,"LOAN BRASIL SCD S.A.","LOAN BRASIL SOCIEDADE DE CRÉDITO DIRETO S.A."
50579044,145,"LEVYCAM CCV LTDA","LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA."
50585090,250,"BANCO BMG CONSIGNADO S.A.","BANCO BMG CONSIGNADO S.A."
50626276,598,"KONECT SCD S/A","KONECT SOCIEDADE DE CRÉDITO DIRETO S/A"
50871921,681,"MT IP S.A.","MT INSTITUICAO DE PAGAMENTO SA"
50946592,585,"SETHI SCD SA","SETHI SOCIEDADE DE CRÉDITO DIRETO S.A."
51118615,701,"INTEGRAÇÃO DE CRÉDITO E COBRANÇA SCD","INTEGRAÇÃO DE CRÉDITO E COBRANÇA SOCIEDADE DE CRÉDITO DIRETO S.A."
51118718,689,"NVIO BRASIL SCD S.A.","NVIO BRASIL SOCIEDADE DE CRÉDITO DIRETO S.A."
51212088,589,"G5 SCD SA","G5 SOCIEDADE DE CRÉDITO DIRETO S.A."
51342763,620,"REVOLUT SCD S.A.","REVOLUT SOCIEDADE DE CRÉDITO DIRETO S.A."
51414521,572,"ALL IN CRED SCD S.A.","ALL IN CRED SOCIEDADE DE CREDITO DIRETO S.A."
52067630,795,"BANCO TRATON BRASIL S.A.","BANCO TRATON BRASIL S.A."
52076716,786,"AWX BRASIL IP LTDA.","AWX BRASIL  INSTITUICAO DE PAGAMENTO LTDA"
52440987,614,"SANTS SCD S.A.","SANTS SOCIEDADE DE CRÉDITO DIRETO S.A."
52586293,632,"Z-ON SCD S.A.","Z-ON SOCIEDADE DE CRÉDITO DIRETO S.A."
52833288,766,"LB PAY IP LTDA","LB PAY INSTITUIÇÃO DE PAGAMENTO LTDA"
53505601,672,"STONE CFI S.A.","STONE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A."
53518684,269,"BCO HSBC S.A.","BANCO HSBC S.A."
53822116,700,"MW IP LTDA.","MW INSTITUICAO DE PAGAMENTO LTDA"
53842122,761,"URBANO S.A. SCFI","URBANO S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
53908413,773,"KIWIFY IP","KIWIFY INSTITUICAO DE PAGAMENTO LTDA"
54024532,790,"MAX IP","MAX INSTITUIÇÃO DE PAGAMENTO LTDA"
54403563,213,"BCO ARBI S.A.","Banco Arbi S.A."
54641030,000,"Câmara B3","Câmara B3"
54647259,644,"321 SCD S.A.","321 SOCIEDADE DE CRÉDITO DIRETO S.A."
54811417,694,"WOOVI IP LTDA.","WOOVI INSTITUICAO DE PAGAMENTO LTDA"
55230916,139,"INTESA SANPAOLO BRASIL S.A. BM","Intesa Sanpaolo Brasil S.A. - Banco Múltiplo"
55428859,661,"FREEX SCC S.A.","FREEX SOCIEDADE CORRETORA DE CÂMBIO S.A."
55823094,680,"DELTA GLOBAL SCD S.A.","DELTA GLOBAL SOCIEDADE DE CRÉDITO DIRETO S.A."
56106523,763,"VUE IP S.A.","VUE INSTITUIÇÃO DE PAGAMENTO S.A."
56198117,692,"SQUID SCD S.A.","SQUID SOCIEDADE DE CRÉDITO DIRETO S.A."
56392166,684,"HARMOS S.A. - SCFI","HARMOS S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
57654096,789,"APUSDIGITAL IP LTDA.","APUSDIGITAL INSTITUICAO DE PAGAMENTO LTDA"
57824223,771,"WX IP LTDA.","WX INSTITUICAO DE PAGAMENTO LTDA"
57839805,018,"BCO TRICURY S.A.","Banco Tricury S.A."
58006471,781,"BARU DTVM LTDA.","BARU DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
58160789,422,"BCO SAFRA S.A.","Banco Safra S.A."
58367961,698,"BIT SCD S.A.","BIT SOCIEDADE DE CRÉDITO DIRETO S.A."
58497702,630,"BANCO LETSBANK S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","BANCO LETSBANK S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL"
58616418,224,"BCO FIBRA S.A.","Banco Fibra S.A."
59109165,393,"BCO VOLKSWAGEN S.A","Banco Volkswagen S.A."
59118133,600,"BCO LUSO BRASILEIRO S.A.","Banco Luso Brasileiro S.A."
59274605,390,"BCO GM S.A.","BANCO GM S.A."
59285411,623,"BANCO PAN","Banco Pan S.A."
59396084,699,"BFC SCD S.A.","BFC SOCIEDADE DE CRÉDITO DIRETO S.A."
59588111,655,"BCO VOTORANTIM S.A.","Banco Votorantim S.A."
60394079,479,"BCO ITAUBANK S.A.","Banco ItauBank S.A."
60498557,456,"BCO MUFG BRASIL S.A.","Banco MUFG Brasil S.A."
60518222,464,"BCO SUMITOMO MITSUI BRASIL S.A.","Banco Sumitomo Mitsui Brasileiro S.A."
60701190,341,"ITAÚ UNIBANCO S.A.","ITAÚ UNIBANCO S.A."
60746948,237,"BCO BRADESCO S.A.","Banco Bradesco S.A."
60814191,381,"BCO MERCEDES-BENZ S.A.","BANCO MERCEDES-BENZ DO BRASIL S.A."
60850229,613,"OMNI BANCO S.A.","Omni Banco S.A."
60889128,637,"BCO SOFISA S.A.","BANCO SOFISA S.A."
60934221,000,"Câmbio B3","Câmara de Câmbio B3"
61021673,793,"MAGALUPAY SCFI S.A.","MAGALUPAY - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
61024352,653,"BM PLENO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","BANCO PLENO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL"
61033106,069,"BCO CREFISA S.A.","Banco Crefisa S.A."
61088183,370,"BCO MIZUHO S.A.","Banco Mizuho do Brasil S.A."
61182408,249,"BANCO INVESTCRED UNIBANCO S.A.","Banco Investcred Unibanco S.A."
61186680,318,"BCO BMG S.A.","Banco BMG S.A."
61348538,626,"BCO C6 CONSIG","BANCO C6 CONSIGNADO S.A."
61384004,508,"AVENUE SECURITIES BI S.A.","AVENUE SECURITIES BANCO DE INVESTIMENTO S.A."
61533584,366,"BCO SOCIETE GENERALE BRASIL","BANCO SOCIETE GENERALE BRASIL S.A."
61723847,113,"NEON CTVM S.A.","NEON CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
61747085,131,"TULLETT PREBON BRASIL CVC LTDA","TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA"
61809182,011,"UBS (BRASIL) CORRETORA DE VALORES S.A.","UBS (BRASIL) CORRETORA DE VALORES S.A."
61820817,611,"BCO PAULISTA S.A.","Banco Paulista S.A."
62073200,755,"BOFA MERRILL LYNCH BM S.A.","Bank of America Merrill Lynch Banco Múltiplo S.A."
62109566,089,"CREDISAN CC","CREDISAN COOPERATIVA DE CRÉDITO"
62144175,643,"BCO PINE S.A.","Banco Pine S.A."
62169875,140,"NU INVESTIMENTOS S.A. - CTVM","NU INVESTIMENTOS S.A. - CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS"
62232889,707,"BCO DAYCOVAL S.A","Banco Daycoval S.A."
62237649,288,"CAROL DTVM LTDA.","CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA."
62264924,767,QORE,"QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS LTDA"
62285390,363,"QI CTVM S.A.","QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
62287735,101,"WARREN RENA DTVM","WARREN RENA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"
62331228,487,"DEUTSCHE BANK S.A.BCO ALEMAO","DEUTSCHE BANK S.A. - BANCO ALEMAO"
62421979,233,"BANCO BMG SOLUÇÕES FINANCEIRAS S.A.","BANCO BMG SOLUÇÕES FINANCEIRAS S.A."
62448932,791,"MULTIPLIKE FINANCEIRA S.A. SCFI","MULTIPLIKE FINANCEIRA S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
63019146,564,"J17 CFI S.A.","J17 - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A"
67030395,438,"TRUSTEE DTVM LTDA.","TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
68757681,365,SIMPAUL,"SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A."
68900810,633,"BCO RENDIMENTO S.A.","Banco Rendimento S.A."
70119680,581,"CENTRAL NORDESTE","COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORDESTE - CENTRAL SICREDI NORDESTE"
71027866,218,"BCO BS2 S.A.","Banco BS2 S.A."
71590442,293,"LASTRO RDV DTVM LTDA","Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda."
73302408,514,"EXIM CC LTDA.","EXIM CORRETORA DE CAMBIO LTDA"
73622748,080,"BT CC LTDA.","BT CORRETORA DE CÂMBIO LTDA."
74014747,565,"ÁGORA CTVM S.A.","ÁGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A."
74828799,753,"NOVO BCO CONTINENTAL S.A. - BM","Novo Banco Continental S.A. - Banco Múltiplo"
75647891,222,"BCO CRÉDIT AGRICOLE BR S.A.","BANCO CRÉDIT AGRICOLE BRASIL S.A."
76461557,281,"CCR COOPAVEL","Cooperativa de Crédito Rural Coopavel"
76543115,754,"BANCO SISTEMA","Banco Sistema S.A."
78626983,610,"BCO VR S.A.","Banco VR S.A."
78632767,712,"OURIBANK S.A.","OURIBANK S.A. BANCO MÚLTIPLO"
80230774,584,"CCC POUP E INV DOS ESTADOS DO PR, SP E RJ","COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ"
80271455,720,"BCO RNX S.A.","BANCO RNX S.A."
81723108,010,CREDICOAMO,"CREDICOAMO CREDITO RURAL COOPERATIVA"
82096447,440,"COOP CREDI&GENTE","CREDI&GENTE - COOPERATIVA DE CRÉDITO E INVESTIMENTOS"
87437687,580,"CCCPOUPINV SUL E SUDESTE - CENTRAL SUL/SUDESTE","COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE"
89960090,283,"RB INVESTIMENTOS DTVM LTDA.","RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA"
90400888,033,"BCO SANTANDER (BRASIL) S.A.","BANCO SANTANDER (BRASIL) S.A."
91669747,646,"DM SCFI","DM SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A"
91884981,217,"BANCO JOHN DEERE S.A.","Banco John Deere S.A."
92702067,041,"BCO DO ESTADO DO RS S.A.","Banco do Estado do Rio Grande do Sul S.A."
92825397,543,COOPCRECE,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS ELETRICITÁRIOS E DOS TRABALHADORES DAS EMPRESAS DO SETOR DE ENERGIA - COOPCRECE"
92874270,654,"BCO DIGIMAIS S.A.","BANCO DIGIMAIS S.A."
92894922,212,"BANCO ORIGINAL","Banco Original S.A."
94968518,289,"EFX CC LTDA.","EFX CORRETORA DE CÂMBIO LTDA."
